Estación,Fecha,Mes,Año,Precipitación_imputada,Precipitación_ajustada,Vecina,factor_ajuste
23085110,2018-08,Agosto,2018,146.8,203.32247030866463,23085160,1.3850304516939007
23085110,2018-09,Septiembre,2018,223.1,223.1,,1.0
23085110,2018-10,Octubre,2018,218.2,218.2,,1.0
23085110,2018-11,Noviembre,2018,355.3,355.3,,1.0
23085110,2018-12,Diciembre,2018,35.2,35.2,23085160,1.0
23085110,2019-01,Enero,2019,125.4,125.4,,1.0
23085110,2019-02,Febrero,2019,94.6,94.6,,1.0
23085110,2019-03,Marzo,2019,211.2,211.2,,1.0
23085110,2019-04,Abril,2019,254.6,266.9745703094255,23085160,1.0486039682224095
23085110,2019-05,Mayo,2019,357.7,355.9323298003971,23085160,0.9950582325982587
23085110,2019-06,Junio,2019,89.4,89.4,,1.0
23085110,2019-07,Julio,2019,176.3,259.9026570526075,23085160,1.4742067898616418
23085110,2019-08,Agosto,2019,25.7,35.595282608533246,23085160,1.3850304516939007
23085110,2019-09,Septiembre,2019,222.9,222.9,,1.0
23085110,2019-10,Octubre,2019,295.8,295.8,,1.0
23085110,2019-11,Noviembre,2019,197.4,197.4,,1.0
23085110,2019-12,Diciembre,2019,163.4,163.4,23085160,1.0
